primary_doi,source_ref_from_compilation,raw_block_rows,positive_qe_rows,core_process_complete_rows,plus_basic_material_rows,plus_elemental_CO_rows,qe_min_compilation,qe_max_compilation,primary_metadata_verified,primary_fulltext_or_supplement_checked,row_values_verified_against_primary,target_semantics_verified,units_verified,duplicate_lineage_checked,v3_admission_status,verification_notes
10.1016/j.cej.2022.138978,Shin et al 2023,306,306,306,306,306,0.022192827748383326,36.22698407831729,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.3390/separations8030032,Son et_al_2021,216,216,216,216,216,0.05516273005365835,5.491199037159625,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1002/clen.201100469,Peng et_al_2012,69,69,69,69,69,0.0612095424107135,16.1866543384308,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2015.10.016,Jung et_al_2016,22,22,22,0,0,0.694980694980694,31.7374517374517,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1007/s13762-015-0766-5,Jung et_al_2015,240,239,239,239,154,0.0465779467680608,251.091703056768,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.biortech.2016.03.066,Jung et_al_2016,138,138,138,138,138,1.34093340705423,147.074037439682,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.jenvman.2019.109410,Yin et_al_2019,33,32,22,22,22,0.51282051282052,243.066884176182,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1016/j.eti.2017.06.002,Karunanithi et_al_2017,38,36,36,36,36,0.259315330775292,90.9,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1080/00387010.2017.1287091,Zhao et_al_2015,24,24,0,0,0,1.3240922488937,13.8418872250497,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1007/s10653-015-9709-9,Park et_al_2015,14,14,14,14,14,0.740062305831504,167.452092171346,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
10.1007/s11356-017-0778-4,Yin et_al_2015,22,21,21,21,21,0.666666652538159,53.8188763786764,NO,NO,NO,NO,NO,NO,PENDING_PRIMARY_SOURCE_VERIFICATION,
